Level,Year,Name,Depth,Indicator,Metric,Reference,Median,Lower,Upper,tn.reefs,n.below,Latitude,Longitude
GBRMPA.MA,2013,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6024364561454072,0.5582400189376365,0.6466994363110484,34,5,NA,NA
GBRMPA.MA,2013,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5053563458621488,0.40210910213841417,0.5921399579616305,34,6,NA,NA
GBRMPA.MA,2013,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.466407461976346,0.3481163946257132,0.5906071283612544,34,3,NA,NA
GBRMPA.MA,2013,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7955140151063833,0.7616620913500396,0.8272490598518709,34,0,NA,NA
GBRMPA.MA,2013,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.42418619801836055,0.3690346241592437,0.47697493230880594,30,9,NA,NA
GBRMPA.MA,2013,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.35487207652685293,0.28559133478684484,0.4135505268742769,30,11,NA,NA
GBRMPA.MA,2013,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.5708113370215067,0.5186975655450391,0.6197404715644985,30,7,NA,NA
GBRMPA.MA,2013,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.6147785709756682,0.5752451980979617,0.6499685988921641,30,5,NA,NA
GBRMPA.MA,2013,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4530490115015536,0.4277911561100759,0.4870871081579776,38,17,NA,NA
GBRMPA.MA,2013,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.424950534716348,0.3658187325248593,0.4745893157102022,38,14,NA,NA
GBRMPA.MA,2013,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.5816223241009739,0.49962712211616805,0.6508717146460771,38,5,NA,NA
GBRMPA.MA,2013,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7295923413222729,0.695314529716704,0.7595388637940903,38,6,NA,NA
GBRMPA.MA,2014,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.573978258552825,0.5264093175019674,0.6262500728848187,22,4,NA,NA
GBRMPA.MA,2014,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.46065000006767454,0.35579118727059755,0.543069729499435,22,7,NA,NA
GBRMPA.MA,2014,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.4724143195357755,0.35218651336947276,0.594014867729721,22,4,NA,NA
GBRMPA.MA,2014,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7595608325002676,0.7298827738009233,0.790690637909716,22,2,NA,NA
GBRMPA.MA,2014,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.48051113817878593,0.4281799509171748,0.5332109380981027,44,11,NA,NA
GBRMPA.MA,2014,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.4068934856684807,0.33581950968445984,0.4786676437155707,44,15,NA,NA
GBRMPA.MA,2014,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.47996086401711946,0.41525548144135177,0.5350202751264463,44,9,NA,NA
GBRMPA.MA,2014,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.5896846694480545,0.5584088413620524,0.620250855280257,44,11,NA,NA
GBRMPA.MA,2014,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.518524846772839,0.487507457865948,0.5544991987871382,67,23,NA,NA
GBRMPA.MA,2014,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.4856749849001272,0.4258775737638978,0.5540034674645972,67,18,NA,NA
